Snapshot Month,Customer ID,Customer Age,Gender,Education_Level,Marital Status,Income Category,Month on Book,Credit_Limit,Revolving_Bal,Utilization,external_bank_credit_card_max_util_greater_than_90,external_bank_credit_card_max_util_greater_than_50,FICO,Total_Debt,Debt_to_Income_Ratio,Credit_Inquiries,Delinquency,Interchange Fee,Monthly_Interest_Revenue,Late_Fee_Revenue,Annual_Fee,Total Revenue,ECL,ECL MoM Charge,Profit,Cumulative Profit
12/31/2013,708155733,31,M,College,Single,$60K - $80K,8,9000,0,0.150603305,0,0,716,12564.61086,0.043910923,0,0,27.11,0,0,0,27.11,343.2939254,10.21,16.9,16.9
1/31/2014,708155733,32,M,College,Single,$60K - $80K,9,9000,0,0.164178413,0,0,716,12271.87138,0.043910923,0,0,29.55,0,0,0,29.55,365.518551,22.2246256,7.33,24.23
2/28/2014,708155733,32,M,College,Single,$60K - $80K,10,9000,0,0.140086221,0,0,715,11981.34956,0.043578272,0,0,25.22,0,0,,25.22,304.0722268,-61.44632421,86.66,110.89
3/31/2014,708155733,32,M,College,Single,$60K - $80K,11,9000,0,0.152177822,0,0,717,11730.92087,0.037564304,0,0,27.39,0,0,0,27.39,303.0251791,-1.047047627,28.44,139.33
4/30/2014,708155733,32,M,College,Single,$60K - $80K,12,9000,0,0.158820749,0,0,717,11432.4378,0.04477246,0,0,28.59,0,0,100,128.59,308.2061731,5.180993964,123.41,262.73
5/31/2014,708155733,32,M,College,Single,$60K - $80K,13,9000,0,0.162480156,0,0,716,11223.93487,0.03127544,0,0,29.25,0,0,0,29.25,309.1253199,0.919146814,28.33,291.06
6/30/2014,708155733,32,M,College,Single,$60K - $80K,14,9000,0,0.14666284,0,0,715,10956.97936,0.040043327,0,0,26.4,0,0,0,26.4,272.0151329,-37.11018699,63.51,354.57
7/31/2014,708155733,32,M,College,Single,$60K - $80K,15,9000,0,0.134471518,0,0,716,10727.63357,0.034401868,0,0,24.2,0,0,0,24.2,244.5250472,-27.49008574,51.69,406.27
8/31/2014,708155733,32,M,College,Single,$60K - $80K,16,9000,0,0.155103239,0,0,717,10464.57426,0.039458896,0,0,27.92,0,0,0,27.92,275.5101979,30.98515071,-3.07,403.2
9/30/2014,708155733,32,M,College,Single,$60K - $80K,17,9000,0,0.169490864,0,0,717,10247.39978,0.032576172,0,0,30.51,0,0,0,30.51,294.8188308,19.30863295,11.2,414.4
10/31/2014,708155733,32,M,College,Single,$60K - $80K,18,9000,0,0.160965343,0,0,717,10039.40718,0.03119889,0,0,28.97,0,0,0,28.97,274.3062438,-20.51258702,49.49,463.88
11/30/2014,708155733,32,M,College,Single,$60K - $80K,19,9000,0,0.204885039,0,1,718,9756.836009,0.042385676,0,0,36.88,0,0,0,36.88,339.7971926,65.49094883,-28.61,435.27
12/31/2014,708155733,32,M,College,Single,$60K - $80K,20,9000,0,0.164754325,0,1,714,9513.360194,0.036521372,1,0,29.66,0,0,0,29.66,264.9384963,-74.85869636,104.51,539.79
1/31/2015,708155733,33,M,College,Single,$60K - $80K,21,9000,0,0.167826367,0,0,715,9226.440096,0.043038015,1,0,30.21,0,0,0,30.21,262.1057162,-2.832780118,33.04,572.83
2/28/2015,708155733,33,M,College,Single,$60K - $80K,22,9000,0,0.158098594,0,0,715,8969.5444,0.038534354,1,0,28.46,0,0,0,28.46,240.0382895,-22.06742663,50.53,623.35
3/31/2015,708155733,33,M,College,Single,$80K - $120K,23,14000,0,0.159846485,0,0,715,8687.167465,0.04235654,1,0,44.76,0,0,0,44.76,292.5087965,52.47050699,-7.71,615.64
4/30/2015,708155733,33,M,College,Single,$80K - $120K,24,14000,0,0.162553541,0,0,720,8449.941052,0.035583962,1,0,45.51,0,0,100,145.51,291.3628756,-1.145920926,146.66,762.3
