,Snapshot Month,Customer ID,Customer Age,Gender,Education_Level,Marital Status,Income Category,Month on Book,Credit_Limit,Revolving_Bal,Utilization,external_bank_credit_card_max_util_greater_than_90,external_bank_credit_card_max_util_greater_than_50,FICO,Total_Debt,Debt_to_Income_Ratio,Credit_Inquiries,Delinquency,Monthly_Interest_Revenue,Late_Fee_Revenue,Annual_Fee,ECL,ECL MoM Charge
0,2013-12-31,768805383,45.0,M,High School,Married,$60K - $80K,41.0,12700.0,3331.3357732621225,0.24681713931831417,1.0,1.0,583.0,71973.7457487053,1.0,2.0,0.0,63.15546358950331,0,0,166.56678866310614,166.56678866310614
1,2014-01-31,768805383,46.0,M,High School,Married,$60K - $80K,42.0,12700.0,1787.0186320078003,0.1350042656333162,0.0,1.0,772.0,84817.20082149192,1.0,0.0,0.0,33.878299225603875,0,0,89.35093160039003,-77.21585706271611
2,2014-02-28,768805383,46.0,M,High School,Married,$60K - $80K,43.0,12700.0,4532.445057113397,0.3329503274385547,1.0,3.0,575.0,105850.20050969542,1.0,3.0,0.0,85.92609339275577,0,0,226.62225285566984,137.27132125527982
3,2014-03-31,768805383,46.0,M,High School,Married,$60K - $80K,44.0,12700.0,3136.310317191612,0.24073971909134248,1.0,2.0,410.0,167261.277158417,1.0,5.0,0.0,59.458170993318575,0,0,156.81551585958061,-69.80673699608923
4,2014-04-30,768805383,46.0,M,High School,Married,$60K - $80K,45.0,12700.0,2590.1102911875287,0.2000136119594273,2.0,2.0,692.0,145267.42417329425,1.0,3.0,0.0,49.10331090033316,0,0,129.50551455937645,-27.310001300204163
5,2014-05-31,768805383,46.0,M,High School,Married,$60K - $80K,46.0,12700.0,3177.4798968109876,0.22944109844358013,2.0,2.0,454.0,213231.7152450648,1.0,4.0,0.0,60.2386638837427,0,0,158.8739948405494,29.368480281172936
6,2014-06-30,768805383,46.0,M,High School,Married,$60K - $80K,47.0,12700.0,2094.424211197697,0.14135874736590098,1.0,1.0,712.0,113885.99180679166,1.0,3.0,0.0,39.70609419588594,0,0,104.72121055988485,-54.152784280664534
7,2014-07-31,768805383,46.0,M,High School,Married,$60K - $80K,48.0,12700.0,2517.9860141060326,0.17656075448796896,0.0,1.0,733.0,91077.1128359054,1.0,1.0,0.0,47.73597885542216,0,100,125.89930070530164,21.17809014541679
8,2014-08-31,768805383,46.0,M,High School,Married,$60K - $80K,49.0,12700.0,1225.476995962313,0.0775510433931504,3.0,3.0,721.0,288087.5167872968,1.0,3.0,1.0,23.232592889453528,30,0,490.1907983849252,364.29149767962355
9,2014-09-30,768805383,46.0,M,High School,Married,$60K - $80K,50.0,12700.0,2596.7666460458427,0.18926659004684443,0.0,0.0,575.0,60378.365574998716,0.8542984574089559,5.0,0.0,49.22950207573708,0,0,129.83833230229214,-360.35246608263304
